Experiment_Type,Time,Accuracy
HT2,22.11759821,0.67
HT2,34.34390118,0.67
HT2,24.48369237,0.67
HT2,20.59863626,0.67
HT2,23.67574954,0.67
HT2,22.87681306,0.67
HT2,25.22608608,0.67
HT2,22.96483823,0.67
HT2,34.66728009,0.67
HT2,21.23524624,0.67
HT2,37.18045376,0.67
HT2,25.77556594,0.67
HT3,98.40754585,1.00
HT3,88.06661128,1.00
HT3,83.15390163,1.00
HT3,77.90614829,1.00
HT3,126.0099713,1.00
HT3,80.53787296,1.00
HT3,102.0401379,1.00
HT3,91.06089627,0.67
HT3,111.1812348,1.00
HT3,109.4863743,1.00
HT3,61.56302272,0.67
HT3,98.56225576,1.00
HT3,62.45630924,1.00
HT3,80.37438171,1.00
HT3,140.0029548,0.33
HT3,100.7569857,1.00
HT3,87.52395451,1.00
HT3,51.65703085,1.00
HT3,67.91082447,0.67
HT3,78.8652699,1.00
HT3,115.505354,1.00
HT3,140.4310926,0.67
HT3,70.8693174,0.67
HT3,490.8900564,0.67
HT3,111.8512523,0.67
HT3,101.5186239,0.67
HT3,79.72756579,1.00
HT3,107.8175176,0.67
HT3,71.11195855,0.67
HT3,88.03087087,0.67
